Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Latitude,Longitude
5020628,Graetschelsteig,7.42,11.84,33.51,mittel,52.517429,13.1874442
5020629,Börnicker Straße,3.60,3.38,7.84,hoch,52.5157303,13.189457
5030730,Zitadellenweg,4.78,11.30,21.09,mittel,52.5376908,13.217194
5030731,Gartenfelder Straße,10.15,21.31,52.44,niedrig,52.5514142,13.2489005
5030832,Rohrdamm,8.37,17.58,43.17,mittel,52.5369951,13.262306
5030833,Motardstraße,4.81,10.55,16.61,mittel,52.5338934,13.2663045
5040934,Alt-Gatow,2.76,4.82,11.93,hoch,52.4840831,13.1832463
5040935,Groß-Glienicker Weg,8.54,5.78,10.20,mittel,52.4794571,13.1419037
5040936,Jägerallee,2.33,2.09,3.68,hoch,52.4645139,13.122436
5040937,Kladower Damm,1.75,1.81,2.89,hoch,52.4787843,13.1791156
5040938,Kafkastraße,2.32,2.43,5.70,hoch,52.4468399,13.1277401
6010101,Fichtenberg,2.83,3.12,5.41,hoch,52.4582283,13.3100698
6010102,Schloßstraße,4.68,7.58,16.84,mittel,52.461481,13.3250946
6010103,Markelstraße,3.97,6.43,11.62,mittel,52.4632632,13.3269254
6010204,Munsterdamm,5.64,9.86,20.58,mittel,52.4574062,13.3487301
6010205,Südende,5.28,8.88,19.88,mittel,52.448279,13.3537492
6010206,Stadtpark,5.71,8.93,19.37,mittel,52.4831773,13.341972
6010207,Mittelstraße,5.38,8.81,20.27,mittel,52.5361912,13.4812414
6010208,Bergstraße,5.50,8.27,16.62,mittel,52.5719786,13.5772602
6010209,Feuerbachstraße,4.95,8.50,16.82,mittel,52.463673,13.3326994
6010210,Bismarckstraße,5.59,9.58,18.61,mittel,52.5115148,13.3052393
6020301,Alt-Lankwitz,4.37,8.33,16.81,mittel,52.4387617,13.3550521
6020302,Komponistenviertel Lankwitz,4.14,5.07,11.36,mittel,52.4375558,13.334377
6020303,Lankwitz Kirche,7.26,11.70,27.99,mittel,52.4358148,13.3468002
6020304,Kaiser-Wilhelm-Straße,6.42,10.65,24.30,mittel,52.4433617,13.3538619
6020305,Gemeindepark Lankwitz,6.52,12.69,28.82,mittel,52.43134175,13.350080584354387
6020306,Lankwitz Süd,3.68,5.95,15.83,mittel,52.42317665,13.362284993251034
6020407,Thermometersiedlung,10.52,22.38,58.00,sehr niedrig,52.41431735,13.314622949983283
6020408,Lichterfelde Süd,6.22,10.39,25.00,mittel,52.4099669,13.3085527
6020409,Königsberger Straße,4.94,7.09,16.19,mittel,52.5149483,13.4436121
6020410,Oberhofer Platz,3.58,4.47,10.15,mittel,52.424791150000004,13.328173774065391
6020411,Schütte-Lanz-Straße,4.02,6.58,16.26,mittel,52.412198,13.3284229
6030501,Berlepschstraße,3.50,4.27,9.69,mittel,52.4209438,13.226431
6030502,Zehlendorf Süd,4.70,9.38,20.87,mittel,52.4255052,13.240168053968436
6030503,Zehlendorf Mitte,3.52,5.29,9.67,mittel,52.4349053,13.2599256
6030504,Teltower Damm,2.46,2.78,5.27,hoch,52.4127572,13.2668011
6030605,Botanischer Garten,4.05,5.22,9.88,mittel,52.45439665,13.304122526030515
6030606,Hindenburgdamm,5.46,8.46,17.24,mittel,52.4532662,13.3156716
6030607,Goerzwerke,2.53,4.01,8.76,hoch,0,0
6030608,Schweizer Viertel,2.78,2.71,3.03,hoch,52.4240284,13.2964923
6030609,Augustaplatz,4.44,5.86,12.65,mittel,52.44280725,13.307452030569994
6030610,Lichterfelde West,2.96,3.13,5.46,hoch,52.4433056,13.2935862
6040701,Wannsee,2.41,2.18,2.63,hoch,52.4211482,13.1589374
6040702,Düppel,2.45,3.27,3.32,hoch,52.4254973,13.233305907223176
6040703,Nikolassee,2.48,2.70,4.09,hoch,52.4262495,13.1981446
6040804,Krumme Lanke,2.15,1.65,1.73,hoch,52.4434481,13.2413921
6040805,Fischerhüttenstraße,2.52,3.46,5.22,hoch,52.442578,13.2404467
6040806,Fischtal,2.94,2.69,4.47,hoch,52.4484762,13.2595279
6040807,Zehlendorf Eiche,3.34,4.59,7.74,mittel,52.4344013,13.2602488
6040808,Hüttenweg,2.57,2.57,4.23,hoch,52.4556436,13.266551
6040809,Thielallee,1.91,1.40,1.46,hoch,52.4531998,13.286119
6040810,Dahlem,2.10,1.65,2.19,hoch,52.4573805,13.2810976
7010101,Wittenbergplatz/Viktoria-Luise-Platz,5.78,10.56,14.91,mittel,0,0
