Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Longitude,Latitude
3061228,Erich-Weinert-Straße,7.82,9.37,23.81,mittel,13.420502,52.5505998
3061332,Helmholtzplatz,6.29,6.92,9.94,mittel,13.419032624098314,52.5430211
3061429,Greifswalder Straße,9.73,10.77,38.36,mittel,13.4389887,52.5402462
3061430,Volkspark Prenzlauer Berg,14.89,11.71,30.48,niedrig,13.463217379890311,52.53578855
3061434,Anton-Saefkow-Park,7.56,8.52,15.2,mittel,13.44011188411454,52.537401599999995
3061435,Conrad-Blenkle-Straße,9.93,13.07,33.64,mittel,13.4441609,52.5334107
3061441,Eldenaer Straße,2.18,0.81,0.6,hoch,13.46384,52.5199217
3071536,Teutoburger Platz,5.22,5.56,9.66,mittel,13.408906124254809,52.532075500000005
3071537,Kollwitzplatz,5.11,5.47,7.7,mittel,13.41704224983837,52.536053800000005
3071633,Thälmannpark,9.98,13.96,24.42,mittel,0,0
3071638,Winsstraße,5.56,5.95,9.96,mittel,13.4286022,52.5374188
3071639,Bötzowstraße,5.79,5.91,7.81,mittel,13.4374025,52.5340868
4010101,Jungfernheide,12.75,19.48,56.17,sehr niedrig,13.299269,52.5304034
4010102,Plötzensee,7.95,8.16,42.42,mittel,13.329969221902985,52.54425365
4010103,Paul-Hertz-Siedlung,12.69,24.87,55.86,sehr niedrig,0,0
4020205,Siedlung Ruhleben,3.29,1.9,6.13,hoch,13.239081516621066,52.5227766
4020206,Angerburger Allee,5.03,5.41,19.46,mittel,13.227873,52.5078703
4020207,Flatowallee,3.36,2.71,4.95,hoch,13.2407032,52.5114137
4020208,Kranzallee,3.48,3.58,5.06,hoch,13.234368,52.5054923
4020209,Eichkamp,0.95,0.83,1.57,hoch,13.2702326,52.4986377
4020310,Park Ruhwald,2.81,3.17,0.0,hoch,13.2550517,52.5224279
4020311,Reichsstraße,4.94,5.4,12.08,mittel,13.2608746,52.5163323
4020312,Branitzer Platz,4.63,4.96,7.6,mittel,13.271090730521255,52.516136700000004
4020313,Königin-Elisabeth-Straße,5.56,8.66,22.16,mittel,13.2815698,52.5126223
4030415,Schloßgarten,11.03,19.05,49.25,niedrig,13.293333074897546,52.52446755
4030416,Klausenerplatz,8.31,16.37,28.45,mittel,13.2925196,52.5185876
4030417,Schloßstraße,5.94,9.58,18.14,mittel,13.3250946,52.461481
4030518,Tegeler Weg,8.55,13.45,32.71,mittel,13.2974225,52.5264142
4030519,Kaiserin-Augusta-Allee,8.29,14.6,44.31,mittel,13.3159304,52.5257862
4030620,Alt-Lietzow,7.0,12.55,29.56,mittel,13.3137352,52.5180587
4030621,Spreestadt,7.97,14.48,37.1,mittel,0,0
4030622,Richard-Wagner-Straße,8.3,13.8,32.17,mittel,13.3067073,52.516801
4030623,Ernst-Reuter-Platz,8.19,15.01,35.12,mittel,13.3221613,52.5118853
4030724,Lietzensee,6.51,8.72,18.85,mittel,13.288045461967833,52.50642345
4030725,Amtsgerichtsplatz,6.09,6.99,13.76,mittel,13.295403761000003,52.5065043
4030726,Droysenstraße,6.3,7.97,17.22,mittel,13.3005886,52.5017965
4030827,Karl-August-Platz,7.26,11.9,28.34,mittel,13.310969968382535,52.508347549999996
4030828,Savignyplatz,5.62,7.79,17.82,mittel,13.3190659,52.5051746
4030929,Hindemithplatz,4.68,6.75,10.14,mittel,13.3079856,52.5033306
4030930,George-Grosz-Platz,3.97,5.8,11.03,mittel,13.317235867892222,52.50163005
4030931,Breitscheidplatz,5.66,7.98,15.76,mittel,13.335294018768128,52.50496755
4031032,Halensee,6.18,7.95,16.02,mittel,13.280318535075601,52.4940267
4041134,Bismarckallee,4.34,5.8,8.99,mittel,13.2824169,52.4904484
4041135,Hundekehle,2.42,2.28,2.19,hoch,13.241810802514282,52.47224035
4041136,Hagenplatz,2.22,2.64,3.12,hoch,13.26648282971464,52.48347435
4041137,Flinsberger Platz,5.73,8.25,19.35,mittel,13.2916567,52.4843411
4041238,Kissinger Straße,4.81,6.56,13.9,mittel,13.2959931,52.4788588
4041240,Messelpark,2.2,0.9,0.0,hoch,13.283290579648828,52.47120565
4041241,Breite Straße,3.64,3.98,4.46,hoch,13.4056675,52.5141235
4041342,Schlangenbader Straße,5.73,9.41,21.32,mittel,13.3079766,52.4703116
4041343,Binger Straße,5.45,6.27,11.48,mittel,13.3096281,52.4785347
4041344,Rüdesheimer Platz,4.57,6.15,12.06,mittel,13.314415,52.4732464
4051445,Eisenzahnstraße,7.52,10.48,26.24,mittel,13.3048702,52.4942067
4051446,Preußenpark,5.19,7.39,15.41,mittel,13.31312112785669,52.49249865
4051447,Ludwigkirchplatz,7.05,8.27,19.28,mittel,13.32267048960177,52.4975581
4051448,Schaperstraße,6.34,7.68,18.29,mittel,13.3274018,52.4987338
4051549,Rathaus Wilmersdorf,7.55,9.13,20.82,mittel,13.313963665510869,52.4896644
4051550,Leon-Jessel-Platz,6.27,9.74,22.26,mittel,13.319462159695625,52.4893871
4051551,Brabanter Platz,6.55,10.44,23.19,mittel,13.31649000631424,52.4818517
4051652,Nikolsburger Platz,5.64,6.69,12.09,mittel,13.3284191,52.4934355
4051653,Prager Platz,6.71,7.55,13.26,mittel,13.333019065383901,52.49314335
4051654,Wilhelmsaue,6.17,6.6,9.54,mittel,13.321433984333694,52.48541265
